run_id,stage_index,asset_id,route_id,scenario_id,stage_id,stage_label,time_hours,base_time_hours,gate_delay_hours,risk_delay_hours,exception_delay_hours,queue_delay_hours,explicit_cost,implicit_cost,approvals,handoffs,intermediaries,transfer_attempted,transfer_success,redemption_attempted,redemption_success,gate_events,risk_events
1,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.5022683701776618,0.5022683701776618,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
1,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,121.9913391171718,36.471338896379855,0.0,78.05172831928249,7.468271901509464,0.0,1.5,0.7,1,1,compliance_provider;platform,False,,False,,,KYC_MANUAL_REVIEW
1,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,5.3971865787681494,5.3971865787681494,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
1,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
1,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
1,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.05328770860318541,0.05328770860318541,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
1,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,4.029729626574617,4.029729626574617,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
1,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,6.219003205108941,6.219003205108941,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
1,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,98.95818313936346,6.281982690863339,0.0,63.79366367026705,28.882536778233074,0.0,0.8999999999999999,0.7,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,GOVERNANCE_PAUSE
1,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
1,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),44.305881653741295,44.305881653741295,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
2,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.20260225043568525,0.20260225043568525,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
2,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,71.4221075265051,71.4221075265051,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
2,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,15.810251931327963,15.810251931327963,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
2,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
2,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
2,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.019739019824991294,0.019739019824991294,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
2,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,3.5418215221070577,3.5418215221070577,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
2,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.902600766960264,4.902600766960264,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
2,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,7.222321617622303,7.222321617622303,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,False,False,,GATE:transfer_restricted_checked,
2,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
2,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),96.5009326977598,72.5009326977598,24.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_hold_by_rules,
3,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.44850711072136007,0.44850711072136007,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
3,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,105.60998855792684,105.60998855792684,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
3,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,13.816171939145875,13.816171939145875,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
3,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
3,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
3,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.12115839308979491,0.12115839308979491,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
3,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,4.729634113490865,4.729634113490865,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
3,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.158713379493303,4.158713379493303,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
3,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,11.424716442172416,11.424716442172416,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,
3,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
3,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),74.13580963525865,74.13580963525865,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
4,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.7406605451186561,0.7406605451186561,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
4,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,44.503269545334156,44.503269545334156,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
4,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,3.143269419812209,3.143269419812209,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
4,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
4,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
4,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.08670993375302033,0.08670993375302033,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
4,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,5.82206491434167,5.82206491434167,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
4,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.417598780245179,4.417598780245179,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
4,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,7.902981747314051,7.902981747314051,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,
4,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
4,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),16.418141955566867,16.418141955566867,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
5,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.5710873296145524,0.5710873296145524,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
5,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,142.8636544384619,142.8636544384619,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
5,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,6.132505794411518,6.132505794411518,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
5,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
5,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
5,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.024250647458336355,0.024250647458336355,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
5,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,6.470012552143636,6.470012552143636,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
5,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.422102433472566,4.422102433472566,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
5,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,10.794315509253085,10.794315509253085,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,
5,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
5,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),32.36343434746077,32.36343434746077,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
6,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.3394972816130778,0.3394972816130778,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
6,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,115.56731844922669,115.56731844922669,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
6,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,15.979083495802383,15.979083495802383,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
6,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
6,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
6,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.07980890810929095,0.07980890810929095,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
6,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,4.391182327048804,4.391182327048804,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
6,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,5.2347749880776515,5.2347749880776515,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
6,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,5.058970730013339,5.058970730013339,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,
6,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
6,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),59.29400549018782,59.29400549018782,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
7,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.32622972163855957,0.32622972163855957,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
7,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,115.17449753172001,115.17449753172001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
7,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,1.5570889853825542,1.5570889853825542,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
7,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
7,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
7,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.11647534707451851,0.11647534707451851,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
7,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,8.562909448732448,8.562909448732448,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
7,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.411907815445542,4.411907815445542,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
7,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,9.003820076465418,9.003820076465418,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,
7,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
7,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),10.596515054896646,10.596515054896646,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
8,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.6108196664388337,0.6108196664388337,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
8,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,160.18064264784852,160.18064264784852,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
8,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,11.11799593726202,11.11799593726202,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
8,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
8,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
8,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.008336923510536803,0.008336923510536803,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
8,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,4.527974988814771,4.527974988814771,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
8,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.143810168016073,4.143810168016073,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
8,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,7.117932824716691,7.117932824716691,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,False,False,,GATE:transfer_restricted_checked,
8,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
8,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),51.52424260918383,51.52424260918383,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
9,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.7974891418779525,0.7974891418779525,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
9,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,77.09090808568081,77.09090808568081,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
9,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,4.812837130563388,4.812837130563388,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
9,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
9,5,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXECUTION,Execution,0.05,0.05,0.0,0.0,0.0,0.0,0.5,1.0,0,1,liquidity_provider,False,,False,,,
9,6,PRIVATE_CREDIT,TOKENIZED,BASELINE,CLEARING_SETTLEMENT,Clearing and settlement,0.12351670388246953,0.12351670388246953,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,False,,False,,,
9,7,PRIVATE_CREDIT,TOKENIZED,BASELINE,CUSTODY_RECORDING,Custody / recording,5.531515690205712,5.531515690205712,0.0,0.0,0.0,0.0,0.2,0.0,0,1,custody_agent,False,,False,,,
9,8,PRIVATE_CREDIT,TOKENIZED,BASELINE,SERVICING_REPORTING,Servicing and reporting,4.190591718935785,4.190591718935785,0.0,0.0,0.0,0.0,0.3,0.0,0,1,administrator;attestation_oracle,False,,False,,,
9,9,PRIVATE_CREDIT,TOKENIZED,BASELINE,TRANSFERABILITY,Transferability / secondary transfer attempt,10.769154194062295,10.769154194062295,0.0,0.0,0.0,0.0,0.1,0.0,0,1,transfer_agent,True,True,False,,GATE:transfer_restricted_checked,
9,10,PRIVATE_CREDIT,TOKENIZED,BASELINE,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.2,0.2,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
9,11,PRIVATE_CREDIT,TOKENIZED,BASELINE,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),26.300819860204086,26.300819860204086,0.0,0.0,0.0,0.0,0.5,0.5,1,2,administrator;issuer_spv,False,,True,True,GATE:redemption_ok,
10,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.47677070542326605,0.47677070542326605,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
10,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,126.5639449831727,112.29394700333982,0.0,0.0,14.269997979832876,0.0,0.5,0.2,1,1,compliance_provider;platform,False,,False,,,KYC_FAILURE
11,1,PRIVATE_CREDIT,TOKENIZED,BASELINE,ONBOARDING,Onboarding (account setup / initial intake),0.09597965818936224,0.09597965818936224,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform,False,,False,,,
11,2,PRIVATE_CREDIT,TOKENIZED,BASELINE,KYC_REVIEW,KYC / Compliance review,136.23658487654723,136.23658487654723,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_provider;platform,False,,False,,,
11,3,PRIVATE_CREDIT,TOKENIZED,BASELINE,ELIGIBILITY_GATE,Eligibility / allowlist checks,11.479026429702362,11.479026429702362,0.0,0.0,0.0,0.0,0.0,0.0,1,1,platform_admin,False,,False,,,
11,4,PRIVATE_CREDIT,TOKENIZED,BASELINE,ORDER_PLACEMENT,Order placement,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,platform_ui,False,,False,,,
