run_id,stage_index,asset_id,route_id,scenario_id,stage_id,stage_label,time_hours,base_time_hours,gate_delay_hours,risk_delay_hours,exception_delay_hours,queue_delay_hours,explicit_cost,implicit_cost,approvals,handoffs,intermediaries,transfer_attempted,transfer_success,redemption_attempted,redemption_success,gate_events,risk_events
1,1,PRIVATE_CREDIT,TRADFI,STRESS,ONBOARDING,Onboarding (account setup / initial intake),21.427975864209362,21.427975864209362,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
1,2,PRIVATE_CREDIT,TRADFI,STRESS,KYC_REVIEW,KYC / Compliance review,303.11091979703906,212.587513424232,0.0,0.0,0.0,90.5234063728071,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
1,3,PRIVATE_CREDIT,TRADFI,STRESS,ELIGIBILITY_GATE,Eligibility / allowlist checks,26.0966968665005,26.0966968665005,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
1,4,PRIVATE_CREDIT,TRADFI,STRESS,ORDER_PLACEMENT,Order placement,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
1,5,PRIVATE_CREDIT,TRADFI,STRESS,EXECUTION,Execution,0.06999999999999999,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,2.1,0,1,venue,False,,False,,,
1,6,PRIVATE_CREDIT,TRADFI,STRESS,CLEARING_SETTLEMENT,Clearing and settlement,31.866867799730404,31.866867799730404,0.0,0.0,0.0,0.0,0.525,0.525,0,2,clearing_house;custodian,False,,False,,,
1,7,PRIVATE_CREDIT,TRADFI,STRESS,CUSTODY_RECORDING,Custody / recording,9.796633295791784,9.796633295791784,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,custodian,False,,False,,,
1,8,PRIVATE_CREDIT,TRADFI,STRESS,SERVICING_REPORTING,Servicing and reporting,7.3335143409038315,7.3335143409038315,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,administrator,False,,False,,,
1,9,PRIVATE_CREDIT,TRADFI,STRESS,TRANSFERABILITY,Transferability / secondary transfer attempt,196.64224928121996,196.64224928121996,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
1,10,PRIVATE_CREDIT,TRADFI,STRESS,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.35,0.35,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
1,11,PRIVATE_CREDIT,TRADFI,STRESS,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),218.2561467197954,69.77307157415493,0.0,0.0,0.0,148.48307514564047,0.525,0.525,0,1,custodian,False,,True,True,GATE:redemption_ok,
2,1,PRIVATE_CREDIT,TRADFI,STRESS,ONBOARDING,Onboarding (account setup / initial intake),23.486593240945677,23.486593240945677,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
2,2,PRIVATE_CREDIT,TRADFI,STRESS,KYC_REVIEW,KYC / Compliance review,278.5133485937801,146.22676102968236,0.0,0.0,0.0,132.28658756409774,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
2,3,PRIVATE_CREDIT,TRADFI,STRESS,ELIGIBILITY_GATE,Eligibility / allowlist checks,19.371756366598976,19.371756366598976,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
2,4,PRIVATE_CREDIT,TRADFI,STRESS,ORDER_PLACEMENT,Order placement,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
2,5,PRIVATE_CREDIT,TRADFI,STRESS,EXECUTION,Execution,0.06999999999999999,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,2.1,0,1,venue,False,,False,,,
2,6,PRIVATE_CREDIT,TRADFI,STRESS,CLEARING_SETTLEMENT,Clearing and settlement,49.26661591478114,49.26661591478114,0.0,0.0,0.0,0.0,0.525,0.525,0,2,clearing_house;custodian,False,,False,,,
2,7,PRIVATE_CREDIT,TRADFI,STRESS,CUSTODY_RECORDING,Custody / recording,8.787230636097977,8.787230636097977,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,custodian,False,,False,,,
2,8,PRIVATE_CREDIT,TRADFI,STRESS,SERVICING_REPORTING,Servicing and reporting,8.249565634794765,8.249565634794765,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,administrator,False,,False,,,
2,9,PRIVATE_CREDIT,TRADFI,STRESS,TRANSFERABILITY,Transferability / secondary transfer attempt,91.86819409928536,91.86819409928536,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
2,10,PRIVATE_CREDIT,TRADFI,STRESS,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.35,0.35,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
2,11,PRIVATE_CREDIT,TRADFI,STRESS,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),135.65104432467626,51.37117291558255,0.0,72.90061440432518,11.379257004768515,0.0,1.3650000000000002,1.6800000000000002,0,1,custodian,False,,True,True,GATE:redemption_ok,REDEMPTION_HOLD;REDEMPTION_REJECTED
3,1,PRIVATE_CREDIT,TRADFI,STRESS,ONBOARDING,Onboarding (account setup / initial intake),4.064070557608056,4.064070557608056,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
3,2,PRIVATE_CREDIT,TRADFI,STRESS,KYC_REVIEW,KYC / Compliance review,577.7400054389459,271.6383318715421,0.0,104.8560162652072,3.406511975297052,197.8391453268996,1.365,0.63,1,2,broker;compliance_provider,False,,False,,,KYC_MANUAL_REVIEW
3,3,PRIVATE_CREDIT,TRADFI,STRESS,ELIGIBILITY_GATE,Eligibility / allowlist checks,26.186126157996046,26.186126157996046,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
3,4,PRIVATE_CREDIT,TRADFI,STRESS,ORDER_PLACEMENT,Order placement,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
3,5,PRIVATE_CREDIT,TRADFI,STRESS,EXECUTION,Execution,0.06999999999999999,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,2.1,0,1,venue,False,,False,,,
3,6,PRIVATE_CREDIT,TRADFI,STRESS,CLEARING_SETTLEMENT,Clearing and settlement,40.61692561391625,40.61692561391625,0.0,0.0,0.0,0.0,0.525,0.525,0,2,clearing_house;custodian,False,,False,,,
3,7,PRIVATE_CREDIT,TRADFI,STRESS,CUSTODY_RECORDING,Custody / recording,13.436017703738656,13.436017703738656,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,custodian,False,,False,,,
3,8,PRIVATE_CREDIT,TRADFI,STRESS,SERVICING_REPORTING,Servicing and reporting,6.667106996144634,6.667106996144634,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,administrator,False,,False,,,
3,9,PRIVATE_CREDIT,TRADFI,STRESS,TRANSFERABILITY,Transferability / secondary transfer attempt,86.9682836589706,86.9682836589706,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
3,10,PRIVATE_CREDIT,TRADFI,STRESS,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.35,0.35,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
3,11,PRIVATE_CREDIT,TRADFI,STRESS,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),45.01321626745423,45.01321626745423,0.0,0.0,0.0,0.0,0.525,0.525,0,1,custodian,False,,True,True,GATE:redemption_ok,
4,1,PRIVATE_CREDIT,TRADFI,STRESS,ONBOARDING,Onboarding (account setup / initial intake),6.820118207712097,6.820118207712097,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
4,2,PRIVATE_CREDIT,TRADFI,STRESS,KYC_REVIEW,KYC / Compliance review,205.1505957404991,98.86872623697397,0.0,0.0,0.0,106.28186950352514,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
4,3,PRIVATE_CREDIT,TRADFI,STRESS,ELIGIBILITY_GATE,Eligibility / allowlist checks,14.059915708680945,14.059915708680945,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
4,4,PRIVATE_CREDIT,TRADFI,STRESS,ORDER_PLACEMENT,Order placement,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
4,5,PRIVATE_CREDIT,TRADFI,STRESS,EXECUTION,Execution,0.06999999999999999,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,2.1,0,1,venue,False,,False,,,
4,6,PRIVATE_CREDIT,TRADFI,STRESS,CLEARING_SETTLEMENT,Clearing and settlement,59.42013310269279,59.42013310269279,0.0,0.0,0.0,0.0,0.525,0.525,0,2,clearing_house;custodian,False,,False,,,
4,7,PRIVATE_CREDIT,TRADFI,STRESS,CUSTODY_RECORDING,Custody / recording,8.363475719334767,8.363475719334767,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,custodian,False,,False,,,
4,8,PRIVATE_CREDIT,TRADFI,STRESS,SERVICING_REPORTING,Servicing and reporting,9.841288208840506,9.841288208840506,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,administrator,False,,False,,,
4,9,PRIVATE_CREDIT,TRADFI,STRESS,TRANSFERABILITY,Transferability / secondary transfer attempt,180.5635749322384,180.5635749322384,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
4,10,PRIVATE_CREDIT,TRADFI,STRESS,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.35,0.35,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
4,11,PRIVATE_CREDIT,TRADFI,STRESS,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),280.5371196368972,75.01900201978793,0.0,0.0,0.0,205.51811761710928,0.525,0.525,0,1,custodian,False,,True,True,GATE:redemption_ok,
5,1,PRIVATE_CREDIT,TRADFI,STRESS,ONBOARDING,Onboarding (account setup / initial intake),18.265756728813997,18.265756728813997,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
5,2,PRIVATE_CREDIT,TRADFI,STRESS,KYC_REVIEW,KYC / Compliance review,154.08778623287589,142.2334984612426,0.0,0.0,0.0,11.85428777163329,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
5,3,PRIVATE_CREDIT,TRADFI,STRESS,ELIGIBILITY_GATE,Eligibility / allowlist checks,14.082861790183378,14.082861790183378,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
5,4,PRIVATE_CREDIT,TRADFI,STRESS,ORDER_PLACEMENT,Order placement,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
5,5,PRIVATE_CREDIT,TRADFI,STRESS,EXECUTION,Execution,0.06999999999999999,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,2.1,0,1,venue,False,,False,,,
5,6,PRIVATE_CREDIT,TRADFI,STRESS,CLEARING_SETTLEMENT,Clearing and settlement,56.26629796202671,56.26629796202671,0.0,0.0,0.0,0.0,0.525,0.525,0,2,clearing_house;custodian,False,,False,,,
5,7,PRIVATE_CREDIT,TRADFI,STRESS,CUSTODY_RECORDING,Custody / recording,10.412812692891706,10.412812692891706,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,custodian,False,,False,,,
5,8,PRIVATE_CREDIT,TRADFI,STRESS,SERVICING_REPORTING,Servicing and reporting,9.49473143709809,9.49473143709809,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,administrator,False,,False,,,
5,9,PRIVATE_CREDIT,TRADFI,STRESS,TRANSFERABILITY,Transferability / secondary transfer attempt,154.73018172164103,154.73018172164103,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,1,2,carrying_broker;receiving_broker,True,True,False,,GATE:transfer_restricted_checked,
5,10,PRIVATE_CREDIT,TRADFI,STRESS,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.35,0.35,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
5,11,PRIVATE_CREDIT,TRADFI,STRESS,REDEMPTION_PROCESSING,Redemption processing (ops / settlement-to-cash),44.628098069289756,44.628098069289756,0.0,0.0,0.0,0.0,0.525,0.525,0,1,custodian,False,,True,True,GATE:redemption_ok,
6,1,PRIVATE_CREDIT,TRADFI,STRESS,ONBOARDING,Onboarding (account setup / initial intake),12.989991540261505,12.989991540261505,0.0,0.0,0.0,0.0,0.0,0.0,1,1,broker,False,,False,,,
6,2,PRIVATE_CREDIT,TRADFI,STRESS,KYC_REVIEW,KYC / Compliance review,273.1255210736701,102.57294870139509,0.0,0.0,0.0,170.552572372275,0.0,0.0,1,2,broker;compliance_provider,False,,False,,,
6,3,PRIVATE_CREDIT,TRADFI,STRESS,ELIGIBILITY_GATE,Eligibility / allowlist checks,19.776819516473573,19.776819516473573,0.0,0.0,0.0,0.0,0.0,0.0,1,1,compliance_officer,False,,False,,,
6,4,PRIVATE_CREDIT,TRADFI,STRESS,ORDER_PLACEMENT,Order placement,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
6,5,PRIVATE_CREDIT,TRADFI,STRESS,EXECUTION,Execution,0.06999999999999999,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,2.1,0,1,venue,False,,False,,,
6,6,PRIVATE_CREDIT,TRADFI,STRESS,CLEARING_SETTLEMENT,Clearing and settlement,55.548004041515924,55.548004041515924,0.0,0.0,0.0,0.0,0.525,0.525,0,2,clearing_house;custodian,False,,False,,,
6,7,PRIVATE_CREDIT,TRADFI,STRESS,CUSTODY_RECORDING,Custody / recording,15.82919201414488,15.82919201414488,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,custodian,False,,False,,,
6,8,PRIVATE_CREDIT,TRADFI,STRESS,SERVICING_REPORTING,Servicing and reporting,6.955373127346528,6.955373127346528,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0,1,administrator,False,,False,,,
6,9,PRIVATE_CREDIT,TRADFI,STRESS,TRANSFERABILITY,Transferability / secondary transfer attempt,64.89566956700756,64.89566956700756,0.0,0.0,0.0,0.0,0.10500000000000001,0.0,1,2,carrying_broker;receiving_broker,True,False,False,,GATE:transfer_restricted_checked,
6,10,PRIVATE_CREDIT,TRADFI,STRESS,EXIT_INITIATION,Exit initiation (sell or redeem request),1800.35,0.35,1800.0,0.0,0.0,0.0,0.0,0.0,0,1,broker_platform,False,,False,,,
