Redemption stress setting,Asset,Route,Completion rate (%),Exit frozen rate (%),Median time to cash (days),Median total time (days)
1,T-bill / MMF,TradFi,97.5,3.0,28.89,27.79
2,T-bill / MMF,TradFi,97.5,3.0,29.51,28.13
4,T-bill / MMF,TradFi,97.5,3.0,28.81,27.6
8,T-bill / MMF,TradFi,97.5,3.0,28.71,27.31
1,T-bill / MMF,Tokenized,97.0,2.5,20.06,18.64
2,T-bill / MMF,Tokenized,97.0,2.5,20.65,19.18
4,T-bill / MMF,Tokenized,97.0,2.5,20.61,19.19
8,T-bill / MMF,Tokenized,97.0,2.5,20.26,19.0
1,Private credit,TradFi,97.5,3.0,110.59,103.49
2,Private credit,TradFi,97.5,3.0,111.21,103.83
4,Private credit,TradFi,97.5,3.0,110.51,103.3
8,Private credit,TradFi,97.5,3.0,110.41,103.01
1,Private credit,Tokenized,97.0,2.5,101.46,94.04
2,Private credit,Tokenized,97.0,2.5,102.05,94.58
4,Private credit,Tokenized,97.0,2.5,102.01,94.59
8,Private credit,Tokenized,97.0,2.5,101.66,94.4
