tag,scenario_id,asset_id,route_id,N,completion_rate,exit_frozen_rate,time_to_cash_days_p50,total_time_days_p50,time_to_position_days_p50
ALLOWLIST_p=0.6,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
ALLOWLIST_p=0.75,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
ALLOWLIST_p=0.9,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
ALLOWLIST_p=0.98,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
ALLOWLIST_p=0.6,BASELINE,TBILL_MMF,TOKENIZED,200,0.55,0.005,9.3242,6.3945,5.1628
ALLOWLIST_p=0.75,BASELINE,TBILL_MMF,TOKENIZED,200,0.71,0.005,9.5638,7.3168,5.2101
ALLOWLIST_p=0.9,BASELINE,TBILL_MMF,TOKENIZED,200,0.91,0.01,9.4398,7.9799,5.1733
ALLOWLIST_p=0.98,BASELINE,TBILL_MMF,TOKENIZED,200,0.985,0.02,9.4241,8.3742,5.1744
ALLOWLIST_p=0.6,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
ALLOWLIST_p=0.75,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
ALLOWLIST_p=0.9,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
ALLOWLIST_p=0.98,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
ALLOWLIST_p=0.6,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.55,0.005,90.6576,80.1964,5.2045
ALLOWLIST_p=0.75,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.71,0.005,90.8972,82.4452,5.2517
ALLOWLIST_p=0.9,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.91,0.01,90.7731,83.2862,5.2149
ALLOWLIST_p=0.98,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.985,0.02,90.7574,83.7075,5.2161
ALLOWLIST_p=0.6,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,29.5137,28.1308,14.865
ALLOWLIST_p=0.75,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,29.5137,28.1308,14.865
ALLOWLIST_p=0.9,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,29.5137,28.1308,14.865
ALLOWLIST_p=0.98,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,29.5137,28.1308,14.865
ALLOWLIST_p=0.6,STRESS,TBILL_MMF,TOKENIZED,200,0.595,0.01,20.3027,15.9257,11.0921
ALLOWLIST_p=0.75,STRESS,TBILL_MMF,TOKENIZED,200,0.705,0.01,20.7394,17.0812,11.2107
ALLOWLIST_p=0.9,STRESS,TBILL_MMF,TOKENIZED,200,0.915,0.02,20.7256,19.0802,11.036
ALLOWLIST_p=0.98,STRESS,TBILL_MMF,TOKENIZED,200,0.975,0.025,20.6859,19.2134,11.036
ALLOWLIST_p=0.6,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,111.2137,103.8308,14.9817
ALLOWLIST_p=0.75,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,111.2137,103.8308,14.9817
ALLOWLIST_p=0.9,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,111.2137,103.8308,14.9817
ALLOWLIST_p=0.98,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,111.2137,103.8308,14.9817
ALLOWLIST_p=0.6,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.595,0.01,101.7027,90.3824,11.1421
ALLOWLIST_p=0.75,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.705,0.01,102.1394,92.3699,11.2607
ALLOWLIST_p=0.9,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.915,0.02,102.1256,94.4802,11.086
ALLOWLIST_p=0.98,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.025,102.0859,94.6134,11.086
