tag,asset_id,route_id,completion_rate,exit_frozen_rate,time_to_cash_days_p50,total_time_days_p50
KYC_stress_servers=1,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,101.9328,94.581
KYC_stress_servers=1,PRIVATE_CREDIT,TRADFI,0.975,0.03,111.0372,103.9074
KYC_stress_servers=1,TBILL_MMF,TOKENIZED,0.97,0.025,20.5328,19.181
KYC_stress_servers=1,TBILL_MMF,TRADFI,0.975,0.03,29.3372,28.2074
KYC_stress_servers=2,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,101.7841,94.4063
KYC_stress_servers=2,PRIVATE_CREDIT,TRADFI,0.975,0.03,109.8361,102.7109
KYC_stress_servers=2,TBILL_MMF,TOKENIZED,0.97,0.025,20.3841,19.0063
KYC_stress_servers=2,TBILL_MMF,TRADFI,0.975,0.03,28.1361,27.0109
KYC_stress_servers=4,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,101.8101,94.4795
KYC_stress_servers=4,PRIVATE_CREDIT,TRADFI,0.975,0.03,109.9536,102.8478
KYC_stress_servers=4,TBILL_MMF,TOKENIZED,0.97,0.025,20.4101,19.0795
KYC_stress_servers=4,TBILL_MMF,TRADFI,0.975,0.03,28.2536,27.1478
KYC_stress_servers=8,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,101.7836,94.4079
KYC_stress_servers=8,PRIVATE_CREDIT,TRADFI,0.975,0.03,110.5681,103.3062
KYC_stress_servers=8,TBILL_MMF,TOKENIZED,0.97,0.025,20.3836,19.0079
KYC_stress_servers=8,TBILL_MMF,TRADFI,0.975,0.03,28.8681,27.6062
