tag,scenario_id,asset_id,route_id,N,completion_rate,exit_frozen_rate,time_to_cash_days_p50,total_time_days_p50,time_to_position_days_p50
KYC_stress_servers=1,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
KYC_stress_servers=2,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
KYC_stress_servers=4,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
KYC_stress_servers=8,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
KYC_stress_servers=1,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
KYC_stress_servers=2,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
KYC_stress_servers=4,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
KYC_stress_servers=8,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
KYC_stress_servers=1,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
KYC_stress_servers=2,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
KYC_stress_servers=4,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
KYC_stress_servers=8,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
KYC_stress_servers=1,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
KYC_stress_servers=2,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
KYC_stress_servers=4,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
KYC_stress_servers=8,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
KYC_stress_servers=1,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,29.3372,28.2074,15.0477
KYC_stress_servers=2,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,28.1361,27.0109,14.4088
KYC_stress_servers=4,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,28.2536,27.1478,14.326
KYC_stress_servers=8,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,28.8681,27.6062,14.4905
KYC_stress_servers=1,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.5328,19.181,11.0062
KYC_stress_servers=2,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.3841,19.0063,10.5732
KYC_stress_servers=4,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.4101,19.0795,10.602
KYC_stress_servers=8,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.3836,19.0079,10.6658
KYC_stress_servers=1,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,111.0372,103.9074,15.1643
KYC_stress_servers=2,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,109.8361,102.7109,14.5254
KYC_stress_servers=4,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,109.9536,102.8478,14.4426
KYC_stress_servers=8,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,110.5681,103.3062,14.6072
KYC_stress_servers=1,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,101.9328,94.581,11.0562
KYC_stress_servers=2,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,101.7841,94.4063,10.6232
KYC_stress_servers=4,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,101.8101,94.4795,10.652
KYC_stress_servers=8,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,101.7836,94.4079,10.7158
