tag,scenario_id,asset_id,route_id,N,completion_rate,exit_frozen_rate,time_to_cash_days_p50,total_time_days_p50,time_to_position_days_p50
REDEMPTION_stress_servers=1,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
REDEMPTION_stress_servers=2,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
REDEMPTION_stress_servers=4,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
REDEMPTION_stress_servers=8,BASELINE,TBILL_MMF,TRADFI,200,0.985,0.02,14.0394,13.0009,7.3211
REDEMPTION_stress_servers=1,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
REDEMPTION_stress_servers=2,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
REDEMPTION_stress_servers=4,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
REDEMPTION_stress_servers=8,BASELINE,TBILL_MMF,TOKENIZED,200,0.975,0.015,9.3742,8.2629,5.1721
REDEMPTION_stress_servers=1,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
REDEMPTION_stress_servers=2,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
REDEMPTION_stress_servers=4,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
REDEMPTION_stress_servers=8,BASELINE,PRIVATE_CREDIT,TRADFI,200,0.985,0.02,95.5394,88.5009,7.4045
REDEMPTION_stress_servers=1,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
REDEMPTION_stress_servers=2,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
REDEMPTION_stress_servers=4,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
REDEMPTION_stress_servers=8,BASELINE,PRIVATE_CREDIT,TOKENIZED,200,0.975,0.015,90.7075,83.5963,5.2137
REDEMPTION_stress_servers=1,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,28.8901,27.7923,14.865
REDEMPTION_stress_servers=2,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,29.5137,28.1308,14.865
REDEMPTION_stress_servers=4,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,28.813,27.5964,14.865
REDEMPTION_stress_servers=8,STRESS,TBILL_MMF,TRADFI,200,0.975,0.03,28.7132,27.3095,14.865
REDEMPTION_stress_servers=1,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.0622,18.6397,11.0143
REDEMPTION_stress_servers=2,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.651,19.178,11.0143
REDEMPTION_stress_servers=4,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.6051,19.189,11.0143
REDEMPTION_stress_servers=8,STRESS,TBILL_MMF,TOKENIZED,200,0.97,0.025,20.2557,19.0011,11.0143
REDEMPTION_stress_servers=1,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,110.5901,103.4923,14.9817
REDEMPTION_stress_servers=2,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,111.2137,103.8308,14.9817
REDEMPTION_stress_servers=4,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,110.513,103.2964,14.9817
REDEMPTION_stress_servers=8,STRESS,PRIVATE_CREDIT,TRADFI,200,0.975,0.03,110.4132,103.0095,14.9817
REDEMPTION_stress_servers=1,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,101.4622,94.0397,11.0643
REDEMPTION_stress_servers=2,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,102.051,94.578,11.0643
REDEMPTION_stress_servers=4,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,102.0051,94.589,11.0643
REDEMPTION_stress_servers=8,STRESS,PRIVATE_CREDIT,TOKENIZED,200,0.97,0.025,101.6557,94.4011,11.0643
